name,rating,review,colour,date,title,rating_score,date_parsed,language,cleaned_text,tokens,token_count,sentences,sentence_count,tokens_no_stopwords,lemmatized_tokens,lemmatized_text
Piyush Kulkarni,5.0 out of 5 stars,It is a great Smartwatch from FastrackIt looks very PremiumThe AMOLED display is of great qualityAOD Feature is available thanks to AMOLED SCREENAOD is visible even in direct sunlightBattery life is also amazingCharges quicklyOverall A great product from Fastrack,Black Metal,18 October 2025,Overall A Great Smartwatch from Fastrack,5.0,2025-10-18,en,it is a great smartwatch from fastrackit looks very premiumthe amoled display is of great qualityaod feature is available thanks to amoled screenaod is visible even in direct sunlightbattery life is also amazingcharges quicklyoverall a great product from fastrack,"['it', 'is', 'a', 'great', 'smartwatch', 'from', 'fastrackit', 'looks', 'very', 'premiumthe', 'amoled', 'display', 'is', 'of', 'great', 'qualityaod', 'feature', 'is', 'available', 'thanks', 'to', 'amoled', 'screenaod', 'is', 'visible', 'even', 'in', 'direct', 'sunlightbattery', 'life', 'is', 'also', 'amazingcharges', 'quicklyoverall', 'a', 'great', 'product', 'from', 'fastrack']",39,['it is a great smartwatch from fastrackit looks very premiumthe amoled display is of great qualityaod feature is available thanks to amoled screenaod is visible even in direct sunlightbattery life is also amazingcharges quicklyoverall a great product from fastrack'],1,"['great', 'smartwatch', 'fastrackit', 'looks', 'premiumthe', 'amoled', 'display', 'great', 'qualityaod', 'feature', 'available', 'thanks', 'amoled', 'screenaod', 'visible', 'even', 'direct', 'sunlightbattery', 'life', 'also', 'amazingcharges', 'quicklyoverall', 'great', 'product', 'fastrack']","['great', 'smartwatch', 'fastrackit', 'look', 'premiumthe', 'amoled', 'display', 'great', 'qualityaod', 'feature', 'available', 'thanks', 'amoled', 'screenaod', 'visible', 'even', 'direct', 'sunlightbattery', 'life', 'also', 'amazingcharges', 'quicklyoverall', 'great', 'product', 'fastrack']",great smartwatch fastrackit look premiumthe amoled display great qualityaod feature available thanks amoled screenaod visible even direct sunlightbattery life also amazingcharges quicklyoverall great product fastrack
Mangukiya Hitesh Bhagavanbhai,4.0 out of 5 stars,Good quality. The features ate not the best but most useful ones are working well with smooth sensor. The stainless still belts don’t look good so I had to change it with silicon belt.,Smoke,4 November 2025,The dial size is the good fit.,4.0,2025-11-04,en,good quality. the features ate not the best but most useful ones are working well with smooth sensor. the stainless still belts dont look good so i had to change it with silicon belt.,"['good', 'quality', '.', 'the', 'features', 'ate', 'not', 'the', 'best', 'but', 'most', 'useful', 'ones', 'are', 'working', 'well', 'with', 'smooth', 'sensor', '.', 'the', 'stainless', 'still', 'belts', 'dont', 'look', 'good', 'so', 'i', 'had', 'to', 'change', 'it', 'with', 'silicon', 'belt', '.']",37,"['good quality.', 'the features ate not the best but most useful ones are working well with smooth sensor.', 'the stainless still belts dont look good so i had to change it with silicon belt.']",3,"['good', 'quality', '.', 'features', 'ate', 'best', 'useful', 'ones', 'working', 'well', 'smooth', 'sensor', '.', 'stainless', 'still', 'belts', 'dont', 'look', 'good', 'change', 'silicon', 'belt', '.']","['good', 'quality', '.', 'feature', 'ate', 'best', 'useful', 'one', 'working', 'well', 'smooth', 'sensor', '.', 'stainless', 'still', 'belt', 'dont', 'look', 'good', 'change', 'silicon', 'belt', '.']",good quality . feature ate best useful one working well smooth sensor . stainless still belt dont look good change silicon belt .
Tapas kumar,5.0 out of 5 stars,Nice product with affordable price & most important thing this watch is premium look & lots of sports activity touch quality is very smooth call & speaker are also good,BLACK,2 October 2025,Premium look,5.0,2025-10-02,en,nice product with affordable price most important thing this watch is premium look lots of sports activity touch quality is very smooth call speaker are also good,"['nice', 'product', 'with', 'affordable', 'price', 'most', 'important', 'thing', 'this', 'watch', 'is', 'premium', 'look', 'lots', 'of', 'sports', 'activity', 'touch', 'quality', 'is', 'very', 'smooth', 'call', 'speaker', 'are', 'also', 'good']",27,['nice product with affordable price most important thing this watch is premium look lots of sports activity touch quality is very smooth call speaker are also good'],1,"['nice', 'product', 'affordable', 'price', 'important', 'thing', 'watch', 'premium', 'look', 'lots', 'sports', 'activity', 'touch', 'quality', 'smooth', 'call', 'speaker', 'also', 'good']","['nice', 'product', 'affordable', 'price', 'important', 'thing', 'watch', 'premium', 'look', 'lot', 'sport', 'activity', 'touch', 'quality', 'smooth', 'call', 'speaker', 'also', 'good']",nice product affordable price important thing watch premium look lot sport activity touch quality smooth call speaker also good
Raghu,4.0 out of 5 stars,Pros:Watch is awesome.Battery can last long for 1 week even if it is used for full time.Display is good.Options are good.Bought it for 1990 Rs.Good look at wrist.You can answer a call and talk over a watch itself.Cons:Connectivity between phone app and watch frequently disconnects.Steps count accuracy to be improved.,Charcoal Black,17 August 2025,FS2 review,4.0,2025-08-17,en,proswatch is awesome.battery can last long for 1 week even if it is used for full time.display is good.options are good.bought it for 1990 rs.good look at wrist.you can answer a call and talk over a watch itself.consconnectivity between phone app and watch frequently disconnects.steps count accuracy to be improved.,"['proswatch', 'is', 'awesome.battery', 'can', 'last', 'long', 'for', '1', 'week', 'even', 'if', 'it', 'is', 'used', 'for', 'full', 'time.display', 'is', 'good.options', 'are', 'good.bought', 'it', 'for', '1990', 'rs.good', 'look', 'at', 'wrist.you', 'can', 'answer', 'a', 'call', 'and', 'talk', 'over', 'a', 'watch', 'itself.consconnectivity', 'between', 'phone', 'app', 'and', 'watch', 'frequently', 'disconnects.steps', 'count', 'accuracy', 'to', 'be', 'improved', '.']",51,['proswatch is awesome.battery can last long for 1 week even if it is used for full time.display is good.options are good.bought it for 1990 rs.good look at wrist.you can answer a call and talk over a watch itself.consconnectivity between phone app and watch frequently disconnects.steps count accuracy to be improved.'],1,"['proswatch', 'awesome.battery', 'last', 'long', '1', 'week', 'even', 'used', 'full', 'time.display', 'good.options', 'good.bought', '1990', 'rs.good', 'look', 'wrist.you', 'answer', 'call', 'talk', 'watch', 'itself.consconnectivity', 'phone', 'app', 'watch', 'frequently', 'disconnects.steps', 'count', 'accuracy', 'improved', '.']","['proswatch', 'awesome.battery', 'last', 'long', '1', 'week', 'even', 'used', 'full', 'time.display', 'good.options', 'good.bought', '1990', 'rs.good', 'look', 'wrist.you', 'answer', 'call', 'talk', 'watch', 'itself.consconnectivity', 'phone', 'app', 'watch', 'frequently', 'disconnects.steps', 'count', 'accuracy', 'improved', '.']",proswatch awesome.battery last long 1 week even used full time.display good.options good.bought 1990 rs.good look wrist.you answer call talk watch itself.consconnectivity phone app watch frequently disconnects.steps count accuracy improved .
Dhruv Sahu,3.0 out of 5 stars,"Overall the watch is good, but what I didn't liked about this watch is that, it can store only 5 watch faces, there are around 100 watch faces on the cloud, but you can store only any five in the watch i mean smartwatch which cost around 800 900 can store more than 10 12 watch faces, but even at this price point of 2799 , Fastrack is giving us only 5 watch faces.. which is totally disappointing..",Black_Metal,10 October 2025,Watchfaces only 5,3.0,2025-10-10,en,"overall the watch is good, but what i didnt liked about this watch is that, it can store only 5 watch faces, there are around 100 watch faces on the cloud, but you can store only any five in the watch i mean smartwatch which cost around 800 900 can store more than 10 12 watch faces, but even at this price point of 2799 , fastrack is giving us only 5 watch faces.. which is totally disappointing..","['overall', 'the', 'watch', 'is', 'good', ',', 'but', 'what', 'i', 'didnt', 'liked', 'about', 'this', 'watch', 'is', 'that', ',', 'it', 'can', 'store', 'only', '5', 'watch', 'faces', ',', 'there', 'are', 'around', '100', 'watch', 'faces', 'on', 'the', 'cloud', ',', 'but', 'you', 'can', 'store', 'only', 'any', 'five', 'in', 'the', 'watch', 'i', 'mean', 'smartwatch', 'which', 'cost', 'around', '800', '900', 'can', 'store', 'more', 'than', '10', '12', 'watch', 'faces', ',', 'but', 'even', 'at', 'this', 'price', 'point', 'of', '2799', ',', 'fastrack', 'is', 'giving', 'us', 'only', '5', 'watch', 'faces', '..', 'which', 'is', 'totally', 'disappointing', '..']",85,"['overall the watch is good, but what i didnt liked about this watch is that, it can store only 5 watch faces, there are around 100 watch faces on the cloud, but you can store only any five in the watch i mean smartwatch which cost around 800 900 can store more than 10 12 watch faces, but even at this price point of 2799 , fastrack is giving us only 5 watch faces.. which is totally disappointing..']",1,"['overall', 'watch', 'good', ',', 'didnt', 'liked', 'watch', ',', 'store', '5', 'watch', 'faces', ',', 'around', '100', 'watch', 'faces', 'cloud', ',', 'store', 'five', 'watch', 'mean', 'smartwatch', 'cost', 'around', '800', '900', 'store', '10', '12', 'watch', 'faces', ',', 'even', 'price', 'point', '2799', ',', 'fastrack', 'giving', 'us', '5', 'watch', 'faces', '..', 'totally', 'disappointing', '..']","['overall', 'watch', 'good', ',', 'didnt', 'liked', 'watch', ',', 'store', '5', 'watch', 'face', ',', 'around', '100', 'watch', 'face', 'cloud', ',', 'store', 'five', 'watch', 'mean', 'smartwatch', 'cost', 'around', '800', '900', 'store', '10', '12', 'watch', 'face', ',', 'even', 'price', 'point', '2799', ',', 'fastrack', 'giving', 'u', '5', 'watch', 'face', '..', 'totally', 'disappointing', '..']","overall watch good , didnt liked watch , store 5 watch face , around 100 watch face cloud , store five watch mean smartwatch cost around 800 900 store 10 12 watch face , even price point 2799 , fastrack giving u 5 watch face .. totally disappointing .."
Arpan,5.0 out of 5 stars,"Good product with many featuresThe dial is big not suitable for medium or small frame guys, if that doesn't matter it's a  great product. The battery life is amazing, almost lasted a week",Smoke,24 October 2025,Good product with many features,5.0,2025-10-24,en,"good product with many featuresthe dial is big not suitable for medium or small frame guys, if that doesnt matter its a great product. the battery life is amazing, almost lasted a week","['good', 'product', 'with', 'many', 'featuresthe', 'dial', 'is', 'big', 'not', 'suitable', 'for', 'medium', 'or', 'small', 'frame', 'guys', ',', 'if', 'that', 'doesnt', 'matter', 'its', 'a', 'great', 'product', '.', 'the', 'battery', 'life', 'is', 'amazing', ',', 'almost', 'lasted', 'a', 'week']",36,"['good product with many featuresthe dial is big not suitable for medium or small frame guys, if that doesnt matter its a great product.', 'the battery life is amazing, almost lasted a week']",2,"['good', 'product', 'many', 'featuresthe', 'dial', 'big', 'suitable', 'medium', 'small', 'frame', 'guys', ',', 'doesnt', 'matter', 'great', 'product', '.', 'battery', 'life', 'amazing', ',', 'almost', 'lasted', 'week']","['good', 'product', 'many', 'featuresthe', 'dial', 'big', 'suitable', 'medium', 'small', 'frame', 'guy', ',', 'doesnt', 'matter', 'great', 'product', '.', 'battery', 'life', 'amazing', ',', 'almost', 'lasted', 'week']","good product many featuresthe dial big suitable medium small frame guy , doesnt matter great product . battery life amazing , almost lasted week"
Iqra afzal,4.0 out of 5 stars,"The overall experience of the watch is good for the price but range of connection is not that great ,it gets disconnected after a certain range of distance from the phone which is not that much greater distance but speaker quality,  step accuracy, fitness and overall experience  is good",Carbon Black,13 October 2025,Connectivity issue,4.0,2025-10-13,en,"the overall experience of the watch is good for the price but range of connection is not that great ,it gets disconnected after a certain range of distance from the phone which is not that much greater distance but speaker quality, step accuracy, fitness and overall experience is good","['the', 'overall', 'experience', 'of', 'the', 'watch', 'is', 'good', 'for', 'the', 'price', 'but', 'range', 'of', 'connection', 'is', 'not', 'that', 'great', ',', 'it', 'gets', 'disconnected', 'after', 'a', 'certain', 'range', 'of', 'distance', 'from', 'the', 'phone', 'which', 'is', 'not', 'that', 'much', 'greater', 'distance', 'but', 'speaker', 'quality', ',', 'step', 'accuracy', ',', 'fitness', 'and', 'overall', 'experience', 'is', 'good']",52,"['the overall experience of the watch is good for the price but range of connection is not that great ,it gets disconnected after a certain range of distance from the phone which is not that much greater distance but speaker quality, step accuracy, fitness and overall experience is good']",1,"['overall', 'experience', 'watch', 'good', 'price', 'range', 'connection', 'great', ',', 'gets', 'disconnected', 'certain', 'range', 'distance', 'phone', 'much', 'greater', 'distance', 'speaker', 'quality', ',', 'step', 'accuracy', ',', 'fitness', 'overall', 'experience', 'good']","['overall', 'experience', 'watch', 'good', 'price', 'range', 'connection', 'great', ',', 'get', 'disconnected', 'certain', 'range', 'distance', 'phone', 'much', 'greater', 'distance', 'speaker', 'quality', ',', 'step', 'accuracy', ',', 'fitness', 'overall', 'experience', 'good']","overall experience watch good price range connection great , get disconnected certain range distance phone much greater distance speaker quality , step accuracy , fitness overall experience good"
Gokul,4.0 out of 5 stars,Good product.But not able to stop the vibration option.,Black_Metal,5 November 2025,Good,4.0,2025-11-05,en,good product.but not able to stop the vibration option.,"['good', 'product.but', 'not', 'able', 'to', 'stop', 'the', 'vibration', 'option', '.']",10,['good product.but not able to stop the vibration option.'],1,"['good', 'product.but', 'able', 'stop', 'vibration', 'option', '.']","['good', 'product.but', 'able', 'stop', 'vibration', 'option', '.']",good product.but able stop vibration option .
SUJI,4.0 out of 5 stars,The the watch qualities is super best,Carbon Black,4 November 2025,watch,4.0,2025-11-04,en,the the watch qualities is super best,"['the', 'the', 'watch', 'qualities', 'is', 'super', 'best']",7,['the the watch qualities is super best'],1,"['watch', 'qualities', 'super', 'best']","['watch', 'quality', 'super', 'best']",watch quality super best
Martin Marak,4.0 out of 5 stars,Dont think its accurate...its approximate.,Carbon Black,2 November 2025,Botton touches every time.,4.0,2025-11-02,en,dont think its accurate...its approximate.,"['dont', 'think', 'its', 'accurate', '...', 'its', 'approximate', '.']",8,['dont think its accurate...its approximate.'],1,"['dont', 'think', 'accurate', '...', 'approximate', '.']","['dont', 'think', 'accurate', '...', 'approximate', '.']",dont think accurate ... approximate .
