name,rating,review,colour,date,title,rating_score,date_parsed,language,cleaned_text,tokens,token_count,sentences,sentence_count,tokens_no_stopwords,lemmatized_tokens,lemmatized_text,pos_tags,entities,product_features,vader_neg,vader_neu,vader_pos,vader_compound,vader_sentiment,sentiment_label,dominant_topic,topic_score,review_summary_textrank,review_summary_tfidf
Piyush Kulkarni,5.0 out of 5 stars,It is a great Smartwatch from FastrackIt looks very PremiumThe AMOLED display is of great qualityAOD Feature is available thanks to AMOLED SCREENAOD is visible even in direct sunlightBattery life is also amazingCharges quicklyOverall A great product from Fastrack,Black Metal,18 October 2025,Overall A Great Smartwatch from Fastrack,5.0,2025-10-18,en,it is a great smartwatch from fastrackit looks very premiumthe amoled display is of great qualityaod feature is available thanks to amoled screenaod is visible even in direct sunlightbattery life is also amazingcharges quicklyoverall a great product from fastrack,"['it', 'is', 'a', 'great', 'smartwatch', 'from', 'fastrackit', 'looks', 'very', 'premiumthe', 'amoled', 'display', 'is', 'of', 'great', 'qualityaod', 'feature', 'is', 'available', 'thanks', 'to', 'amoled', 'screenaod', 'is', 'visible', 'even', 'in', 'direct', 'sunlightbattery', 'life', 'is', 'also', 'amazingcharges', 'quicklyoverall', 'a', 'great', 'product', 'from', 'fastrack']",39,['it is a great smartwatch from fastrackit looks very premiumthe amoled display is of great qualityaod feature is available thanks to amoled screenaod is visible even in direct sunlightbattery life is also amazingcharges quicklyoverall a great product from fastrack'],1,"['great', 'smartwatch', 'fastrackit', 'looks', 'premiumthe', 'amoled', 'display', 'great', 'qualityaod', 'feature', 'available', 'thanks', 'amoled', 'screenaod', 'visible', 'even', 'direct', 'sunlightbattery', 'life', 'also', 'amazingcharges', 'quicklyoverall', 'great', 'product', 'fastrack']","['great', 'smartwatch', 'fastrackit', 'look', 'premiumthe', 'amoled', 'display', 'great', 'qualityaod', 'feature', 'available', 'thanks', 'amoled', 'screenaod', 'visible', 'even', 'direct', 'sunlightbattery', 'life', 'also', 'amazingcharges', 'quicklyoverall', 'great', 'product', 'fastrack']",great smartwatch fastrackit look premiumthe amoled display great qualityaod feature available thanks amoled screenaod visible even direct sunlightbattery life also amazingcharges quicklyoverall great product fastrack,"[('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('great', 'JJ'), ('smartwatch', 'NN'), ('from', 'IN'), ('fastrackit', 'JJ'), ('looks', 'NNS'), ('very', 'RB'), ('premiumthe', 'RB'), ('amoled', 'JJ'), ('display', 'NN'), ('is', 'VBZ'), ('of', 'IN'), ('great', 'JJ'), ('qualityaod', 'JJ'), ('feature', 'NN'), ('is', 'VBZ'), ('available', 'JJ'), ('thanks', 'NNS'), ('to', 'TO'), ('amoled', 'VB'), ('screenaod', 'NN'), ('is', 'VBZ'), ('visible', 'JJ'), ('even', 'RB'), ('in', 'IN'), ('direct', 'JJ'), ('sunlightbattery', 'NN'), ('life', 'NN'), ('is', 'VBZ'), ('also', 'RB'), ('amazingcharges', 'VBZ'), ('quicklyoverall', 'VB'), ('a', 'DT'), ('great', 'JJ'), ('product', 'NN'), ('from', 'IN'), ('fastrack', 'NN')]",[],"[{'feature': 'display', 'context_before': 'amoled', 'context_after': 'is', 'position': 11}]",0.0,0.685,0.315,0.9451,positive,2,0,0.7770299430752065,it is a great smartwatch from fastrackit looks very premiumthe amoled display is of great qualityaod feature is available thanks to amoled screenaod is visible even in direct sunlightbattery life is also amazingcharges quicklyoverall a great product from fastrack,it is a great smartwatch from fastrackit looks very premiumthe amoled display is of great qualityaod feature is available thanks to amoled screenaod is visible even in direct sunlightbattery life is also amazingcharges quicklyoverall a great product from fastrack
Mangukiya Hitesh Bhagavanbhai,4.0 out of 5 stars,Good quality. The features ate not the best but most useful ones are working well with smooth sensor. The stainless still belts don’t look good so I had to change it with silicon belt.,Smoke,4 November 2025,The dial size is the good fit.,4.0,2025-11-04,en,good quality. the features ate not the best but most useful ones are working well with smooth sensor. the stainless still belts dont look good so i had to change it with silicon belt.,"['good', 'quality', '.', 'the', 'features', 'ate', 'not', 'the', 'best', 'but', 'most', 'useful', 'ones', 'are', 'working', 'well', 'with', 'smooth', 'sensor', '.', 'the', 'stainless', 'still', 'belts', 'dont', 'look', 'good', 'so', 'i', 'had', 'to', 'change', 'it', 'with', 'silicon', 'belt', '.']",37,"['good quality.', 'the features ate not the best but most useful ones are working well with smooth sensor.', 'the stainless still belts dont look good so i had to change it with silicon belt.']",3,"['good', 'quality', '.', 'features', 'ate', 'best', 'useful', 'ones', 'working', 'well', 'smooth', 'sensor', '.', 'stainless', 'still', 'belts', 'dont', 'look', 'good', 'change', 'silicon', 'belt', '.']","['good', 'quality', '.', 'feature', 'ate', 'best', 'useful', 'one', 'working', 'well', 'smooth', 'sensor', '.', 'stainless', 'still', 'belt', 'dont', 'look', 'good', 'change', 'silicon', 'belt', '.']",good quality . feature ate best useful one working well smooth sensor . stainless still belt dont look good change silicon belt .,"[('good', 'JJ'), ('quality', 'NN'), ('.', '.'), ('the', 'DT'), ('features', 'NNS'), ('ate', 'VBP'), ('not', 'RB'), ('the', 'DT'), ('best', 'JJS'), ('but', 'CC'), ('most', 'RBS'), ('useful', 'JJ'), ('ones', 'NNS'), ('are', 'VBP'), ('working', 'VBG'), ('well', 'RB'), ('with', 'IN'), ('smooth', 'JJ'), ('sensor', 'NN'), ('.', '.'), ('the', 'DT'), ('stainless', 'NN'), ('still', 'RB'), ('belts', 'VBZ'), ('dont', 'JJ'), ('look', 'NN'), ('good', 'JJ'), ('so', 'RB'), ('i', 'JJ'), ('had', 'VBD'), ('to', 'TO'), ('change', 'VB'), ('it', 'PRP'), ('with', 'IN'), ('silicon', 'NN'), ('belt', 'NN'), ('.', '.')]",[],"[{'feature': 'quality', 'context_before': 'good', 'context_after': '.', 'position': 1}]",0.051,0.652,0.297,0.8899,positive,2,0,0.6112685738711455,the features ate not the best but most useful ones are working well with smooth sensor. the stainless still belts dont look good so i had to change it with silicon belt.,good quality. the stainless still belts dont look good so i had to change it with silicon belt.
Tapas kumar,5.0 out of 5 stars,Nice product with affordable price & most important thing this watch is premium look & lots of sports activity touch quality is very smooth call & speaker are also good,BLACK,2 October 2025,Premium look,5.0,2025-10-02,en,nice product with affordable price most important thing this watch is premium look lots of sports activity touch quality is very smooth call speaker are also good,"['nice', 'product', 'with', 'affordable', 'price', 'most', 'important', 'thing', 'this', 'watch', 'is', 'premium', 'look', 'lots', 'of', 'sports', 'activity', 'touch', 'quality', 'is', 'very', 'smooth', 'call', 'speaker', 'are', 'also', 'good']",27,['nice product with affordable price most important thing this watch is premium look lots of sports activity touch quality is very smooth call speaker are also good'],1,"['nice', 'product', 'affordable', 'price', 'important', 'thing', 'watch', 'premium', 'look', 'lots', 'sports', 'activity', 'touch', 'quality', 'smooth', 'call', 'speaker', 'also', 'good']","['nice', 'product', 'affordable', 'price', 'important', 'thing', 'watch', 'premium', 'look', 'lot', 'sport', 'activity', 'touch', 'quality', 'smooth', 'call', 'speaker', 'also', 'good']",nice product affordable price important thing watch premium look lot sport activity touch quality smooth call speaker also good,"[('nice', 'JJ'), ('product', 'NN'), ('with', 'IN'), ('affordable', 'JJ'), ('price', 'NN'), ('most', 'RBS'), ('important', 'JJ'), ('thing', 'NN'), ('this', 'DT'), ('watch', 'NN'), ('is', 'VBZ'), ('premium', 'JJ'), ('look', 'JJ'), ('lots', 'NNS'), ('of', 'IN'), ('sports', 'NNS'), ('activity', 'NN'), ('touch', 'JJ'), ('quality', 'NN'), ('is', 'VBZ'), ('very', 'RB'), ('smooth', 'JJ'), ('call', 'NN'), ('speaker', 'NN'), ('are', 'VBP'), ('also', 'RB'), ('good', 'JJ')]",[],"[{'feature': 'price', 'context_before': 'affordable', 'context_after': 'most', 'position': 4}, {'feature': 'quality', 'context_before': 'touch', 'context_after': 'is', 'position': 18}, {'feature': 'speaker', 'context_before': 'call', 'context_after': 'are', 'position': 23}]",0.0,0.755,0.245,0.7778,positive,2,0,0.7939050987135999,nice product with affordable price most important thing this watch is premium look lots of sports activity touch quality is very smooth call speaker are also good,nice product with affordable price most important thing this watch is premium look lots of sports activity touch quality is very smooth call speaker are also good
Raghu,4.0 out of 5 stars,Pros:Watch is awesome.Battery can last long for 1 week even if it is used for full time.Display is good.Options are good.Bought it for 1990 Rs.Good look at wrist.You can answer a call and talk over a watch itself.Cons:Connectivity between phone app and watch frequently disconnects.Steps count accuracy to be improved.,Charcoal Black,17 August 2025,FS2 review,4.0,2025-08-17,en,proswatch is awesome.battery can last long for 1 week even if it is used for full time.display is good.options are good.bought it for 1990 rs.good look at wrist.you can answer a call and talk over a watch itself.consconnectivity between phone app and watch frequently disconnects.steps count accuracy to be improved.,"['proswatch', 'is', 'awesome.battery', 'can', 'last', 'long', 'for', '1', 'week', 'even', 'if', 'it', 'is', 'used', 'for', 'full', 'time.display', 'is', 'good.options', 'are', 'good.bought', 'it', 'for', '1990', 'rs.good', 'look', 'at', 'wrist.you', 'can', 'answer', 'a', 'call', 'and', 'talk', 'over', 'a', 'watch', 'itself.consconnectivity', 'between', 'phone', 'app', 'and', 'watch', 'frequently', 'disconnects.steps', 'count', 'accuracy', 'to', 'be', 'improved', '.']",51,['proswatch is awesome.battery can last long for 1 week even if it is used for full time.display is good.options are good.bought it for 1990 rs.good look at wrist.you can answer a call and talk over a watch itself.consconnectivity between phone app and watch frequently disconnects.steps count accuracy to be improved.'],1,"['proswatch', 'awesome.battery', 'last', 'long', '1', 'week', 'even', 'used', 'full', 'time.display', 'good.options', 'good.bought', '1990', 'rs.good', 'look', 'wrist.you', 'answer', 'call', 'talk', 'watch', 'itself.consconnectivity', 'phone', 'app', 'watch', 'frequently', 'disconnects.steps', 'count', 'accuracy', 'improved', '.']","['proswatch', 'awesome.battery', 'last', 'long', '1', 'week', 'even', 'used', 'full', 'time.display', 'good.options', 'good.bought', '1990', 'rs.good', 'look', 'wrist.you', 'answer', 'call', 'talk', 'watch', 'itself.consconnectivity', 'phone', 'app', 'watch', 'frequently', 'disconnects.steps', 'count', 'accuracy', 'improved', '.']",proswatch awesome.battery last long 1 week even used full time.display good.options good.bought 1990 rs.good look wrist.you answer call talk watch itself.consconnectivity phone app watch frequently disconnects.steps count accuracy improved .,"[('proswatch', 'NN'), ('is', 'VBZ'), ('awesome.battery', 'RB'), ('can', 'MD'), ('last', 'JJ'), ('long', 'RB'), ('for', 'IN'), ('1', 'CD'), ('week', 'NN'), ('even', 'RB'), ('if', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('used', 'VBN'), ('for', 'IN'), ('full', 'JJ'), ('time.display', 'NN'), ('is', 'VBZ'), ('good.options', 'NNS'), ('are', 'VBP'), ('good.bought', 'JJ'), ('it', 'PRP'), ('for', 'IN'), ('1990', 'CD'), ('rs.good', 'NN'), ('look', 'NN'), ('at', 'IN'), ('wrist.you', 'NN'), ('can', 'MD'), ('answer', 'VB'), ('a', 'DT'), ('call', 'NN'), ('and', 'CC'), ('talk', 'NN'), ('over', 'IN'), ('a', 'DT'), ('watch', 'NN'), ('itself.consconnectivity', 'NN'), ('between', 'IN'), ('phone', 'NN'), ('app', 'NN'), ('and', 'CC'), ('watch', 'NN'), ('frequently', 'RB'), ('disconnects.steps', 'VBZ'), ('count', 'NN'), ('accuracy', 'NN'), ('to', 'TO'), ('be', 'VB'), ('improved', 'VBN'), ('.', '.')]",[],[],0.0,0.937,0.063,0.4767,positive,2,2,0.7248757697405448,proswatch is awesome.battery can last long for 1 week even if it is used for full time.display is good.options are good.bought it for 1990 rs.good look at wrist.you can answer a call and talk over a watch itself.consconnectivity between phone app and watch frequently disconnects.steps count accuracy to be improved.,proswatch is awesome.battery can last long for 1 week even if it is used for full time.display is good.options are good.bought it for 1990 rs.good look at wrist.you can answer a call and talk over a watch itself.consconnectivity between phone app and watch frequently disconnects.steps count accuracy to be improved.
Dhruv Sahu,3.0 out of 5 stars,"Overall the watch is good, but what I didn't liked about this watch is that, it can store only 5 watch faces, there are around 100 watch faces on the cloud, but you can store only any five in the watch i mean smartwatch which cost around 800 900 can store more than 10 12 watch faces, but even at this price point of 2799 , Fastrack is giving us only 5 watch faces.. which is totally disappointing..",Black_Metal,10 October 2025,Watchfaces only 5,3.0,2025-10-10,en,"overall the watch is good, but what i didnt liked about this watch is that, it can store only 5 watch faces, there are around 100 watch faces on the cloud, but you can store only any five in the watch i mean smartwatch which cost around 800 900 can store more than 10 12 watch faces, but even at this price point of 2799 , fastrack is giving us only 5 watch faces.. which is totally disappointing..","['overall', 'the', 'watch', 'is', 'good', ',', 'but', 'what', 'i', 'didnt', 'liked', 'about', 'this', 'watch', 'is', 'that', ',', 'it', 'can', 'store', 'only', '5', 'watch', 'faces', ',', 'there', 'are', 'around', '100', 'watch', 'faces', 'on', 'the', 'cloud', ',', 'but', 'you', 'can', 'store', 'only', 'any', 'five', 'in', 'the', 'watch', 'i', 'mean', 'smartwatch', 'which', 'cost', 'around', '800', '900', 'can', 'store', 'more', 'than', '10', '12', 'watch', 'faces', ',', 'but', 'even', 'at', 'this', 'price', 'point', 'of', '2799', ',', 'fastrack', 'is', 'giving', 'us', 'only', '5', 'watch', 'faces', '..', 'which', 'is', 'totally', 'disappointing', '..']",85,"['overall the watch is good, but what i didnt liked about this watch is that, it can store only 5 watch faces, there are around 100 watch faces on the cloud, but you can store only any five in the watch i mean smartwatch which cost around 800 900 can store more than 10 12 watch faces, but even at this price point of 2799 , fastrack is giving us only 5 watch faces.. which is totally disappointing..']",1,"['overall', 'watch', 'good', ',', 'didnt', 'liked', 'watch', ',', 'store', '5', 'watch', 'faces', ',', 'around', '100', 'watch', 'faces', 'cloud', ',', 'store', 'five', 'watch', 'mean', 'smartwatch', 'cost', 'around', '800', '900', 'store', '10', '12', 'watch', 'faces', ',', 'even', 'price', 'point', '2799', ',', 'fastrack', 'giving', 'us', '5', 'watch', 'faces', '..', 'totally', 'disappointing', '..']","['overall', 'watch', 'good', ',', 'didnt', 'liked', 'watch', ',', 'store', '5', 'watch', 'face', ',', 'around', '100', 'watch', 'face', 'cloud', ',', 'store', 'five', 'watch', 'mean', 'smartwatch', 'cost', 'around', '800', '900', 'store', '10', '12', 'watch', 'face', ',', 'even', 'price', 'point', '2799', ',', 'fastrack', 'giving', 'u', '5', 'watch', 'face', '..', 'totally', 'disappointing', '..']","overall watch good , didnt liked watch , store 5 watch face , around 100 watch face cloud , store five watch mean smartwatch cost around 800 900 store 10 12 watch face , even price point 2799 , fastrack giving u 5 watch face .. totally disappointing ..","[('overall', 'JJ'), ('the', 'DT'), ('watch', 'NN'), ('is', 'VBZ'), ('good', 'JJ'), (',', ','), ('but', 'CC'), ('what', 'WP'), ('i', 'VBP'), ('didnt', 'VBP'), ('liked', 'VBN'), ('about', 'IN'), ('this', 'DT'), ('watch', 'NN'), ('is', 'VBZ'), ('that', 'IN'), (',', ','), ('it', 'PRP'), ('can', 'MD'), ('store', 'VB'), ('only', 'RB'), ('5', 'CD'), ('watch', 'NN'), ('faces', 'VBZ'), (',', ','), ('there', 'EX'), ('are', 'VBP'), ('around', 'IN'), ('100', 'CD'), ('watch', 'NN'), ('faces', 'VBZ'), ('on', 'IN'), ('the', 'DT'), ('cloud', 'NN'), (',', ','), ('but', 'CC'), ('you', 'PRP'), ('can', 'MD'), ('store', 'VB'), ('only', 'RB'), ('any', 'DT'), ('five', 'CD'), ('in', 'IN'), ('the', 'DT'), ('watch', 'NN'), ('i', 'NN'), ('mean', 'VBP'), ('smartwatch', 'NN'), ('which', 'WDT'), ('cost', 'NN'), ('around', 'IN'), ('800', 'CD'), ('900', 'CD'), ('can', 'MD'), ('store', 'VB'), ('more', 'JJR'), ('than', 'IN'), ('10', 'CD'), ('12', 'CD'), ('watch', 'NN'), ('faces', 'VBZ'), (',', ','), ('but', 'CC'), ('even', 'RB'), ('at', 'IN'), ('this', 'DT'), ('price', 'NN'), ('point', 'NN'), ('of', 'IN'), ('2799', 'CD'), (',', ','), ('fastrack', 'NN'), ('is', 'VBZ'), ('giving', 'VBG'), ('us', 'PRP'), ('only', 'RB'), ('5', 'CD'), ('watch', 'NN'), ('faces', 'VBZ'), ('..', 'NNP'), ('which', 'WDT'), ('is', 'VBZ'), ('totally', 'RB'), ('disappointing', 'JJ'), ('..', 'NN')]",[],"[{'feature': 'price', 'context_before': 'this', 'context_after': 'point', 'position': 66}]",0.038,0.897,0.065,0.2621,positive,1,2,0.7793847316990473,"overall the watch is good, but what i didnt liked about this watch is that, it can store only 5 watch faces, there are around 100 watch faces on the cloud, but you can store only any five in the watch i mean smartwatch which cost around 800 900 can store more than 10 12 watch faces, but even at this price point of 2799 , fastrack is giving us only 5 watch faces.. which is totally disappointing..","overall the watch is good, but what i didnt liked about this watch is that, it can store only 5 watch faces, there are around 100 watch faces on the cloud, but you can store only any five in the watch i mean smartwatch which cost around 800 900 can store more than 10 12 watch faces, but even at this price point of 2799 , fastrack is giving us only 5 watch faces.. which is totally disappointing.."
Arpan,5.0 out of 5 stars,"Good product with many featuresThe dial is big not suitable for medium or small frame guys, if that doesn't matter it's a  great product. The battery life is amazing, almost lasted a week",Smoke,24 October 2025,Good product with many features,5.0,2025-10-24,en,"good product with many featuresthe dial is big not suitable for medium or small frame guys, if that doesnt matter its a great product. the battery life is amazing, almost lasted a week","['good', 'product', 'with', 'many', 'featuresthe', 'dial', 'is', 'big', 'not', 'suitable', 'for', 'medium', 'or', 'small', 'frame', 'guys', ',', 'if', 'that', 'doesnt', 'matter', 'its', 'a', 'great', 'product', '.', 'the', 'battery', 'life', 'is', 'amazing', ',', 'almost', 'lasted', 'a', 'week']",36,"['good product with many featuresthe dial is big not suitable for medium or small frame guys, if that doesnt matter its a great product.', 'the battery life is amazing, almost lasted a week']",2,"['good', 'product', 'many', 'featuresthe', 'dial', 'big', 'suitable', 'medium', 'small', 'frame', 'guys', ',', 'doesnt', 'matter', 'great', 'product', '.', 'battery', 'life', 'amazing', ',', 'almost', 'lasted', 'week']","['good', 'product', 'many', 'featuresthe', 'dial', 'big', 'suitable', 'medium', 'small', 'frame', 'guy', ',', 'doesnt', 'matter', 'great', 'product', '.', 'battery', 'life', 'amazing', ',', 'almost', 'lasted', 'week']","good product many featuresthe dial big suitable medium small frame guy , doesnt matter great product . battery life amazing , almost lasted week","[('good', 'JJ'), ('product', 'NN'), ('with', 'IN'), ('many', 'JJ'), ('featuresthe', 'JJ'), ('dial', 'NN'), ('is', 'VBZ'), ('big', 'JJ'), ('not', 'RB'), ('suitable', 'JJ'), ('for', 'IN'), ('medium', 'NN'), ('or', 'CC'), ('small', 'JJ'), ('frame', 'NN'), ('guys', 'NNS'), (',', ','), ('if', 'IN'), ('that', 'DT'), ('doesnt', 'VBZ'), ('matter', 'NN'), ('its', 'PRP$'), ('a', 'DT'), ('great', 'JJ'), ('product', 'NN'), ('.', '.'), ('the', 'DT'), ('battery', 'NN'), ('life', 'NN'), ('is', 'VBZ'), ('amazing', 'JJ'), (',', ','), ('almost', 'RB'), ('lasted', 'VBD'), ('a', 'DT'), ('week', 'NN')]",[],"[{'feature': 'battery', 'context_before': 'the', 'context_after': 'life', 'position': 27}]",0.115,0.709,0.176,0.5158,positive,2,0,0.8534921331794303,"good product with many featuresthe dial is big not suitable for medium or small frame guys, if that doesnt matter its a great product. the battery life is amazing, almost lasted a week","good product with many featuresthe dial is big not suitable for medium or small frame guys, if that doesnt matter its a great product. the battery life is amazing, almost lasted a week"
Iqra afzal,4.0 out of 5 stars,"The overall experience of the watch is good for the price but range of connection is not that great ,it gets disconnected after a certain range of distance from the phone which is not that much greater distance but speaker quality,  step accuracy, fitness and overall experience  is good",Carbon Black,13 October 2025,Connectivity issue,4.0,2025-10-13,en,"the overall experience of the watch is good for the price but range of connection is not that great ,it gets disconnected after a certain range of distance from the phone which is not that much greater distance but speaker quality, step accuracy, fitness and overall experience is good","['the', 'overall', 'experience', 'of', 'the', 'watch', 'is', 'good', 'for', 'the', 'price', 'but', 'range', 'of', 'connection', 'is', 'not', 'that', 'great', ',', 'it', 'gets', 'disconnected', 'after', 'a', 'certain', 'range', 'of', 'distance', 'from', 'the', 'phone', 'which', 'is', 'not', 'that', 'much', 'greater', 'distance', 'but', 'speaker', 'quality', ',', 'step', 'accuracy', ',', 'fitness', 'and', 'overall', 'experience', 'is', 'good']",52,"['the overall experience of the watch is good for the price but range of connection is not that great ,it gets disconnected after a certain range of distance from the phone which is not that much greater distance but speaker quality, step accuracy, fitness and overall experience is good']",1,"['overall', 'experience', 'watch', 'good', 'price', 'range', 'connection', 'great', ',', 'gets', 'disconnected', 'certain', 'range', 'distance', 'phone', 'much', 'greater', 'distance', 'speaker', 'quality', ',', 'step', 'accuracy', ',', 'fitness', 'overall', 'experience', 'good']","['overall', 'experience', 'watch', 'good', 'price', 'range', 'connection', 'great', ',', 'get', 'disconnected', 'certain', 'range', 'distance', 'phone', 'much', 'greater', 'distance', 'speaker', 'quality', ',', 'step', 'accuracy', ',', 'fitness', 'overall', 'experience', 'good']","overall experience watch good price range connection great , get disconnected certain range distance phone much greater distance speaker quality , step accuracy , fitness overall experience good","[('the', 'DT'), ('overall', 'JJ'), ('experience', 'NN'), ('of', 'IN'), ('the', 'DT'), ('watch', 'NN'), ('is', 'VBZ'), ('good', 'JJ'), ('for', 'IN'), ('the', 'DT'), ('price', 'NN'), ('but', 'CC'), ('range', 'NN'), ('of', 'IN'), ('connection', 'NN'), ('is', 'VBZ'), ('not', 'RB'), ('that', 'IN'), ('great', 'JJ'), (',', ','), ('it', 'PRP'), ('gets', 'VBZ'), ('disconnected', 'VBN'), ('after', 'IN'), ('a', 'DT'), ('certain', 'JJ'), ('range', 'NN'), ('of', 'IN'), ('distance', 'NN'), ('from', 'IN'), ('the', 'DT'), ('phone', 'NN'), ('which', 'WDT'), ('is', 'VBZ'), ('not', 'RB'), ('that', 'RB'), ('much', 'JJ'), ('greater', 'JJR'), ('distance', 'NN'), ('but', 'CC'), ('speaker', 'NN'), ('quality', 'NN'), (',', ','), ('step', 'NN'), ('accuracy', 'NN'), (',', ','), ('fitness', 'NN'), ('and', 'CC'), ('overall', 'JJ'), ('experience', 'NN'), ('is', 'VBZ'), ('good', 'JJ')]",[],"[{'feature': 'price', 'context_before': 'the', 'context_after': 'but', 'position': 10}, {'feature': 'speaker', 'context_before': 'but', 'context_after': 'quality', 'position': 40}, {'feature': 'quality', 'context_before': 'speaker', 'context_after': ',', 'position': 41}]",0.118,0.698,0.184,0.4577,positive,2,2,0.6768605457915432,"the overall experience of the watch is good for the price but range of connection is not that great ,it gets disconnected after a certain range of distance from the phone which is not that much greater distance but speaker quality, step accuracy, fitness and overall experience is good","the overall experience of the watch is good for the price but range of connection is not that great ,it gets disconnected after a certain range of distance from the phone which is not that much greater distance but speaker quality, step accuracy, fitness and overall experience is good"
Gokul,4.0 out of 5 stars,Good product.But not able to stop the vibration option.,Black_Metal,5 November 2025,Good,4.0,2025-11-05,en,good product.but not able to stop the vibration option.,"['good', 'product.but', 'not', 'able', 'to', 'stop', 'the', 'vibration', 'option', '.']",10,['good product.but not able to stop the vibration option.'],1,"['good', 'product.but', 'able', 'stop', 'vibration', 'option', '.']","['good', 'product.but', 'able', 'stop', 'vibration', 'option', '.']",good product.but able stop vibration option .,"[('good', 'JJ'), ('product.but', 'NN'), ('not', 'RB'), ('able', 'JJ'), ('to', 'TO'), ('stop', 'VB'), ('the', 'DT'), ('vibration', 'NN'), ('option', 'NN'), ('.', '.')]",[],[],0.0,0.594,0.406,0.5842,positive,2,0,0.8760384901175113,good product.but not able to stop the vibration option.,good product.but not able to stop the vibration option.
SUJI,4.0 out of 5 stars,The the watch qualities is super best,Carbon Black,4 November 2025,watch,4.0,2025-11-04,en,the the watch qualities is super best,"['the', 'the', 'watch', 'qualities', 'is', 'super', 'best']",7,['the the watch qualities is super best'],1,"['watch', 'qualities', 'super', 'best']","['watch', 'quality', 'super', 'best']",watch quality super best,"[('the', 'DT'), ('the', 'DT'), ('watch', 'NN'), ('qualities', 'NNS'), ('is', 'VBZ'), ('super', 'JJ'), ('best', 'RBS')]",[],[],0.0,0.382,0.618,0.8442,positive,2,2,0.7877398468589984,the the watch qualities is super best,the the watch qualities is super best
Martin Marak,4.0 out of 5 stars,Dont think its accurate...its approximate.,Carbon Black,2 November 2025,Botton touches every time.,4.0,2025-11-02,en,dont think its accurate...its approximate.,"['dont', 'think', 'its', 'accurate', '...', 'its', 'approximate', '.']",8,['dont think its accurate...its approximate.'],1,"['dont', 'think', 'accurate', '...', 'approximate', '.']","['dont', 'think', 'accurate', '...', 'approximate', '.']",dont think accurate ... approximate .,"[('dont', 'NN'), ('think', 'VBP'), ('its', 'PRP$'), ('accurate', 'NN'), ('...', ':'), ('its', 'PRP$'), ('approximate', 'NN'), ('.', '.')]",[],[],0.0,1.0,0.0,0.0,neutral,2,2,0.6914529697534039,dont think its accurate...its approximate.,dont think its accurate...its approximate.
