name,rating,review,colour,date,title
Piyush Kulkarni,5.0 out of 5 stars,It is a great Smartwatch from FastrackIt looks very PremiumThe AMOLED display is of great qualityAOD Feature is available thanks to AMOLED SCREENAOD is visible even in direct sunlightBattery life is also amazingCharges quicklyOverall A great product from Fastrack,Black Metal,18 October 2025,Overall A Great Smartwatch from Fastrack
Mangukiya Hitesh Bhagavanbhai,4.0 out of 5 stars,Good quality. The features ate not the best but most useful ones are working well with smooth sensor. The stainless still belts don’t look good so I had to change it with silicon belt.,Smoke,4 November 2025,The dial size is the good fit.
Tapas kumar,5.0 out of 5 stars,Nice product with affordable price & most important thing this watch is premium look & lots of sports activity touch quality is very smooth call & speaker are also good,BLACK,2 October 2025,Premium look
Raghu,4.0 out of 5 stars,Pros:Watch is awesome.Battery can last long for 1 week even if it is used for full time.Display is good.Options are good.Bought it for 1990 Rs.Good look at wrist.You can answer a call and talk over a watch itself.Cons:Connectivity between phone app and watch frequently disconnects.Steps count accuracy to be improved.,Charcoal Black,17 August 2025,FS2 review
Dhruv Sahu,3.0 out of 5 stars,"Overall the watch is good, but what I didn't liked about this watch is that, it can store only 5 watch faces, there are around 100 watch faces on the cloud, but you can store only any five in the watch i mean smartwatch which cost around 800 900 can store more than 10 12 watch faces, but even at this price point of 2799 , Fastrack is giving us only 5 watch faces.. which is totally disappointing..",Black_Metal,10 October 2025,Watchfaces only 5
Arpan,5.0 out of 5 stars,"Good product with many featuresThe dial is big not suitable for medium or small frame guys, if that doesn't matter it's a  great product. The battery life is amazing, almost lasted a week",Smoke,24 October 2025,Good product with many features
Iqra afzal,4.0 out of 5 stars,"The overall experience of the watch is good for the price but range of connection is not that great ,it gets disconnected after a certain range of distance from the phone which is not that much greater distance but speaker quality,  step accuracy, fitness and overall experience  is good",Carbon Black,13 October 2025,Connectivity issue
Gokul,4.0 out of 5 stars,Good product.But not able to stop the vibration option.,Black_Metal,5 November 2025,Good
SUJI,4.0 out of 5 stars,The the watch qualities is super best,Carbon Black,4 November 2025,watch
Martin Marak,4.0 out of 5 stars,Dont think its accurate...its approximate.,Carbon Black,2 November 2025,Botton touches every time.
ramesh rai,4.0 out of 5 stars,Good,Silver,30 October 2025,Good
Nafees,4.0 out of 5 stars,Good for using,Deep_Blue,28 October 2025,Excellent
Pawan Kumar,4.0 out of 5 stars,This watch is best in look and it has almost all features like call videos music etc it is very good in touch it's sound is OK ok it has value of money this is best watch to buy,Rose Gold,2 October 2025,Look and qualitys
Singhanara,4.0 out of 5 stars,Very nice.Happy with the product and it's durability.,Gray,18 October 2025,Superb
Placeholder,4.0 out of 5 stars,Worth a buy,Black_Metal,22 October 2025,Good Buy
Bubai mondal,4.0 out of 5 stars,Nice product 😃,Silver,16 October 2025,Nice product
Laila,4.0 out of 5 stars,Nice been using it for 4 years,WineRed,13 October 2025,Affordable and best
Ajit Kr Upadhyay,4.0 out of 5 stars,NICE PRODUCT MET THE QUALITY AND GOOD LOOK,Silver,9 October 2025,Standard
12yqra,4.0 out of 5 stars,Nice,Jet Black,10 October 2025,Good
Gautam Kumar,4.0 out of 5 stars,Ok,Jet Black,10 October 2025,Ok
P.D. Dhadhal,4.0 out of 5 stars,Amazing product but found watch streps fitted wrong so I had repair at local watch repairer,BLACK,5 October 2025,Amazing product
Amazon Customer,4.0 out of 5 stars,Product is very good 👍,Dark Teal,6 October 2025,Thank
Anvi Thakur,4.0 out of 5 stars,Good,Wine_Red,6 October 2025,It's good and lightweight
J.V.ENTERPRISES,4.0 out of 5 stars,Good product according this price range,BLUE,2 October 2025,Good
M.hussain Maya,4.0 out of 5 stars,Good but not worth instead buy a cheaper one and display is good,BLUE,27 September 2025,Instead next tine i would go with a analogue watch
rk,4.0 out of 5 stars,No warranty number in box,Silver,29 September 2025,Smart watch...
Amazon Customer,4.0 out of 5 stars,Nice,Gray,30 September 2025,Good
Sekh Sifon,4.0 out of 5 stars,Good,Rose Gold,9 October 2025,Good
Gokul,4.0 out of 5 stars,Yeah display pretty good but not happy with the strap,Carbon Black,26 September 2025,Yeah nice
Partha Sarathi Sarkar,4.0 out of 5 stars,Good Product,BLUE,25 September 2025,Good
Omprakash,4.0 out of 5 stars,Good product,Silver,23 September 2025,Good colour
Santhosh Kumar,4.0 out of 5 stars,"Everything is Good, the strap, the watch, the functions and the accuracy and app connectivity but the touch response could've been faster overall worth the price",Charcoal Black,19 September 2025,PERFORMANCE
Jannat,3.0 out of 5 stars,Good can buy it worth for money using currently in future god knows,Silver,26 October 2025,Good
Panna Roy,3.0 out of 5 stars,"Hello,I recently received a Fastrack watch, but the screen appears to be slightly tilted/misaligned. It doesn’t look properly aligned inside the case. Please help me with a replacement or refund.Thank you.",Rose Gold,8 October 2025,Screen is misaligned
